### 直接加载测试（角色专属材质）
    合计: 可加载=82  加载失败=0

===== 张知远_可动
    Bot_F_bot_002_shorts | F_bot_002_shorts | bot_mat_bot.002_shorts | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Shoes_shoes_002_sneaker | shoes_002_sneaker | shoes_mat_shoes.002_sneakers | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
===== 王含_可动
    long.001_low | long.001_low | hair_mat_hair_long.001 | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    bangs.003 | bangs.003 | hair_mat_hair_bangs.003 | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_arms_lower | F_body_arms_lower | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_arms_upper | F_body_arms_upper | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_hands | F_body_hands | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_legs_knee | F_body_legs_knee | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_shoulders | F_body_shoulders | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_torso | F_body_torso | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_torso.001 | F_body_torso.001 | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_F_head.001_mesh | F_head.001_mesh | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_F_head.001_mesh | F_head.001_mesh | skin_mat_base_F_face | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_F_head.001_mesh | F_head.001_mesh | brow_mat_eyelashes | shader=Universal Render Pipeline/Unlit | supported=True
    Head_F_head.001_mesh | F_head.001_mesh | mat_base_eye.001 | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_F_head.001_mesh | F_head.001_mesh | mat_eye_highlight | shader=Universal Render Pipeline/Lit | supported=True
    Head_F_head.001_mesh | F_head.001_mesh | mat_base_mouth | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_F_head.001_mesh | F_head.001_mesh | brow_mat_eyebrows | shader=Universal Render Pipeline/Lit | supported=True
    Top_F_top_004_shirt | F_top_004_shirt | top_mat_top.004_shirt | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Bot_F_bot_004_skinny | F_bot_004_skinny | bot_mat_bot.004_skinnyjeans | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Shoes_shoes_001_boots+socks | shoes_001_boots+socks | shoes_mat_shoes.001_boots | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
